id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply
maple,mpl,Maple,14.053585620327379,110138941.0,453.0,140583418.0,1438059.0,15.17,13.89,-1.030138120421199,-6.82947,-8153906.477694526,-6.89298,7834419.115452654,10000000.0,
canto,canto,CANTO,0.16472723128848002,97982439.0,483.0,164684017.0,4231759.0,0.177026,0.164108,-0.007498285035659,-4.35376,-4525663.222922176,-4.41493,594972368.192739,1000000000.0,
hifi-finance,hifi,Hifi Finance,0.770558114401892,95435999.0,491.0,108937831.0,8728695.0,0.8592400000000001,0.768605,-0.063109161522699,-7.57007,-7643163.812583223,-7.41485,123663943.978848,141159331.253312,
lto-network,lto,LTO Network,0.19150793089054102,81805831.0,529.0,81809783.0,6564061.0,0.215971,0.19133000000000003,-0.019107230409698,-9.07211,-8101464.800409079,-9.01091,427166802.64031,427187443.948897,500000000.0
clearpool,cpool,Clearpool,0.17373652607359102,77826270.0,548.0,173817221.0,3403510.0,0.196868,0.172852,-0.004220483534465001,-2.37163,-1648836.6828201413,-2.07466,447747749.61564434,1000000000.0,1000000000.0
opulous,opul,Opulous,0.167130995584685,76035296.0,553.0,83393066.0,2112591.0,0.185501,0.157893,-0.007729907759191,-4.4206,-3583976.725704536,-4.50139,455885000.0,500000000.0,500000000.0
boson-protocol,boson,Boson Protocol,0.5831933029060641,73097114.0,567.0,116642751.0,1403083.0,0.655455,0.5810409999999999,-0.062053453630945006,-9.61701,-7647641.429507807,-9.47138,125335030.3301309,200000000.0,200000000.0
strikecoin,strx,StrikeX,0.07457327130180501,62252528.0,615.0,65957933.0,1028435.0,0.075359,0.072682,8.526000000000001e-05,0.11447000000000002,-146936.99397401512,-0.23548000000000002,836992452.25816,886812043.0,1000000000.0
swarm-markets,smt,Swarm Markets,0.7638392861043921,57280940.0,640.0,184690095.0,421720.0,0.819731,0.743491,-0.04313936025262,-5.34579,-3264142.661176577,-5.39126,74919731.1146102,241562589.498024,250000000.0
defichain,dfi,DeFiChain,0.064196319092164,55996682.0,654.0,76934105.0,3657063.0,0.06769399999999999,0.06369899999999999,-0.0028999564622940004,-4.32208,-2587956.800250247,-4.41747,873423011.275164,1200000000.0,
propbase,props,Propbase,0.159366641598504,55249264.0,660.0,191364543.0,587542.0,0.16800299999999999,0.156042,-0.008313003712433,-4.95767,-2803117.9039730057,-4.8286,346454553.509562,1200000000.0,1200000000.0
polytrade,trade,Polytrade,1.685811005562739,55048211.0,662.0,168499410.0,1176899.0,1.75,1.69,-0.043214988638673006,-2.49938,-1502999.8737156168,-2.65777,32669676.0,100000000.0,
parcl,prcl,Parcl,0.452746339057005,54708488.0,664.0,455904064.0,64507298.0,0.549685,0.44296599999999997,-0.084360914052335,-15.70653,-10084855.734619178,-15.56465,120000000.0,1000000000.0,
